field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003]
. Thuế thu nhập hoãn lại phải trả__1,407711498.0,296762715.0,,,,1852586233.0,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,37652691877590.0,37565218479887.0,,30748805744384.0,27384495248999.0,25053686312950.0,20614014669941.0,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,21771732360000.0,21771732360000.0,,21771732360000.0,21771732360000.0,21771732360000.0,17093269312227.0,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,21771732360000.0,21771732360000.0,,21771732360000.0,21771732360000.0,21771732360000.0,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,14602790587.0,14602790587.0,,14602790587.0,14602790587.0,14602790587.0,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,-2918680000.0,-2918680000.0,,-572470000.0,,,-15543216.0,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,342731552995.0,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,-954907598.0,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,6034593641645.0,6034593641645.0,,2550573946105.0,702011972981.0,450312439969.0,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,587575433242.0,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,9792696331399.0,9705052958099.0,,6359930412361.0,4848782554857.0,2058397248325.0,1806960155796.0,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,479772413300.0,1647476267498.0,,5725808999577.0,748281525219.0,1809509203480.0,1747275330620.0,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,9312923918099.0,8057576690601.0,,634121412784.0,4100501029638.0,248888044845.0,59684825176.0,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,41985433959.0,42155409556.0,,52538705331.0,47365570574.0,758641474069.0,784448666495.0,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH__1,,,,,,,,,,,,,,,,,,,
Lợi nhuận (lỗ) trước thuế__1,990285234886.0,2000260283700.0,,7574998251567.0,5343473842995.0,3419428862955.0,2277425864007.0,3174371467936.0,3025664309243.0,1931657468483.0,,,,,,,,,
Điều chỉnh cho các khoản:__1,,,,,,,,,,,,,,,,,,,
Khấu hao tài sản cố định__1,2529606678309.0,2992133649464.0,,3960918368666.0,4165022645340.0,3440648260534.0,3611284831241.0,2073421572848.0,2037746938012.0,1874990642617.0,,,,,,,,,
Các khoản dự phòng__1,480437275313.0,41292434289.0,,4729116879.0,11419111685.0,63399541920.0,322276914884.0,-61062170277.0,27274462355.0,157868406301.0,,,,,,,,,
"Lãi, lỗ từ đầu tư vào công ty liên kết__1",,,,,,,,,,,,,,,,,,,
(Lãi) lỗ chênh lệch tỷ giá hối đoái chưa thực hiện__1,-1411640140966.0,842181613960.0,,638238848257.0,489588948149.0,-236875824629.0,666134851925.0,-1480932158801.0,-1664856089229.0,-658254569333.0,,,,,,,,,
(Lãi)/lỗ từ hoạt động đầu tư/thanh lý tài sản cố định__1,-1803298356676.0,-2370090785185.0,,-1668075990409.0,-1193909733693.0,-864905979512.0,-1082485780338.0,-981220881584.0,-923325565317.0,-984945154196.0,,,,,,,,,
Chi phí lãi vay__1,88792729468.0,96219749004.0,,95084582355.0,96165565685.0,76487464126.0,89866585692.0,64436773101.0,68996205426.0,92235355182.0,,,,,,,,,
Các khoản giảm trừ khác__1,,,,-1547343655.0,,,,,,,,,,,,,,,
Thu nhập từ lãi tiền gửi__1,,,,,,,,,,,,,,,,,,,
