field,[2021],[2020],[2018],[2017],[2016],[2013],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[1997],[1995],[1994],[2019],[2015],[2014],[2012],[2011],[2010],[2003]
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,634097427.0,634097427.0,634097427.0,601529294.0,553360968.0,,,,,,,,,,,,,,,,634097427.0,470694795.0,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,-501636336.0,-545213152.0,42438326.0,164453457.0,241874281.0,,,,,,,,,,,,,,,,-301094915.0,413608453.0,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,43576816.0,-244118237.0,39837069.0,162840665.0,240931629.0,,,,,,,,,,,,,,,,-343533241.0,157544157.0,,,,,
- LNST chưa phân phối kỳ này__1,-545213152.0,-301094915.0,2601257.0,1612792.0,942652.0,,,,,,,,,,,,,,,,42438326.0,256064296.0,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,5020000.0,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,13626148769.0,13309214634.0,13642316665.0,13807172650.0,14493814930.0,13283397383.0,12971291218.0,,,,,,,,,,,,,,13304777081.0,14535890028.0,14474329120.0,14103191489.0,13807003995.0,13880844926.0,
.. Đầu tư ngắn hạn__1,,,,,,905805063.0,2161198072.0,,,,,,,,,,,,,,,,1027851874.0,,1778174167.0,2394072051.0,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,4469099.0,,,,,,,,,,,,,,,,,561461645.0,561461645.0,261880000.0,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,4715039405.0,6292717472.0,,,,,,,,,,,,,,,,3746293966.0,5149389553.0,5531262771.0,6315754993.0,
. Đầu tư dài hạn khác__1,,,,,,4715039405.0,6292717472.0,,,,,,,,,,,,,,,,3746293966.0,5149389553.0,5531262771.0,6315754993.0,
.. Vay và nợ ngắn hạn__1,,,,,,543400000.0,543400000.0,,,,,,,,,,,,,,,,543400000.0,543400000.0,543400000.0,1343400000.0,
.. Phải trả người bán__1,,,,,,,2535994.0,,,,,,,,,,,,,,,,145250000.0,,,,
.. Người mua trả tiền trước__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,1437863089.0,1171456499.0,,,,,,,,,,,,,,,,1692991925.0,2239603064.0,2300148847.0,1624262674.0,
.. Quỹ khen thưởng phúc lợi__1,,,,,,9314501.0,5020000.0,,,,,,,,,,,,,,,,1367650.0,5434463.0,10748224.0,7254206.0,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,1000000000.0,,,,,,,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,80816750.0,,,,,,,,,,,,,,,,,,79016875.0,80816750.0,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Vốn chủ sở hữu__1,,,,,,10608260341.0,10083868745.0,,,,,,,,,,,,,,,,10981533780.0,10621073647.0,10403526173.0,10313801920.0,
.. Vốn đầu tư của chủ sở hữu__1,,,,,,10000000000.0,10000000000.0,,,,,,,,,,,,,,,,10000000000.0,10000000000.0,10000000000.0,10000000000.0,
.. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ đầu tư phát triển__1,,,,,,220620841.0,,,,,,,,,,,,,,,,,250115016.0,140633796.0,113612557.0,91051540.0,
.. Quỹ dự phòng tài chính__1,,,,,,102692500.0,,,,,,,,,,,,,,,,,132186675.0,61722462.0,34701223.0,12140206.0,
.. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Lợi nhuận sau thuế chưa phân phối__1,,,,,,284947000.0,83868745.0,,,,,,,,,,,,,,,,599232089.0,418717389.0,255212393.0,210610174.0,
.. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ dự trữ vốn điều lệ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__2,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lợi nhuận (lỗ) trước thuế__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản:__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao tài sản cố định__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Các khoản dự phòng__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lãi, lỗ từ đầu tư vào công ty liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,,,,
(Lãi) lỗ chênh lệch tỷ giá hối đoái chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Lãi)/lỗ từ hoạt động đầu tư/thanh lý tài sản cố định__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi phí lãi vay__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Các khoản giảm trừ khác__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập từ lãi tiền gửi__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lãi lỗ thanh lý tài sản cố định__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Tăng) giảm các khoản phải thu__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tăng, giảm chứng khoán tự doanh__1",,,,,,,,,,,,,,,,,,,,,,,,,,,
